category,fact,source_url
process,"1. Scheme With a view to provide income support to all landholding farmers’ families in the country, having cultivable land, the Central Government has implemented a Central Sector Scheme, namely, “Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)”.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
amount,"2. Objective and Benefits The scheme aims to supplement the financial needs of all landholding farmers’ families in procuring various inputs to ensure proper crop health and appropriate yields, commensurate with the anticipated farm income as well as for domestic needs. Under the Scheme an amount of Rs.6000/- per year is released by the Central Government online directly into the bank accounts of the eligible farmers under Direct Benefit Transfer mode, subject to certain exclusions. 3. Definition of farmer’s family A landholder farmer’s family is defined as “a family comprising of husband, wife and minor children who owns cultivable land as per land records of the concerned State/UT”.  The existing land-ownership system will be used for identification of beneficiaries for calculation of benefit.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
amount,"4 Exclusions 4.1 The following categories of beneficiaries of higher economic status shall not be eligible for benefit under the scheme: (a) All Institutional Land holders; and (b) Farmer families in which one or more of its members belong to following categories : i) Former and present holders of constitutional posts ii) Former and present Ministers / State Ministers and former / present  Members of Lok Sabha / Rajya Sabha / State Legislative Assemblies / State Legislative Councils, former and present Mayors of Municipal Corporations, former and present Chairpersons of District Panchayats. iii) All serving or retired officers and employees of Central / State Government Ministries / Offices / Departments and their field units, Central or State PSEs and Attached offices / Autonomous Institutions under Government as well as regular employees of the Local Bodies (Excluding Multi Tasking Staff / Class IV / Group D employees) iv) All superannuated / retired pensioners whose monthly pension is Rs.10,000/- or more (Excluding Multi Tasking Staff / Class IV / Group D employees) v) All Persons who paid Income Tax in last assessment year. vi) Professionals like Doctors, Engineers, Lawyers, Chartered Accountants, and Architects registered with Professional bodies and carrying out profession by undertaking practices. (c) In case of new beneficiaries being uploaded on the PM-KISAN Portal, all land holding farmers’ families who are Non-resident Indians (NRIs) in terms of the provisions of the Income Tax Act, 1961 shall be excluded from any benefit under the Scheme. 4.2 For the purpose of exclusion State / UT Governments can certify the eligibility of the beneficiaries based on self declaration by the beneficiaries. In case beneficiary is not available / does not reside in the village, State / UT Governments may consider certification based on the declaration by other adult member of his / her family. In case of incorrect self declaration, beneficiary shall be liable for recovery of transferred financial benefit and other penal actions as per law.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
eligibility,"Benefit is paid only to farmers' families whose names are entered in land records. The cut-off date for determining eligibility is 01.02.2019, and no changes after this date are considered for the next 5 years, except when land ownership transfers due to succession after the landowner's death.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
eligibility,"If cultivable land ownership transfers due to succession following the landowner's death, the successor's family remains entitled to PM-KISAN benefits, subject to meeting the scheme's other conditions and exclusion criteria.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
amount,"If cultivable land ownership transferred between 01.12.2018 and 31.01.2019 due to purchase, succession, will, or gift, the first installment for that period is a proportionate amount calculated from the date of transfer.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
eligibility,"If cultivable land is sold or transferred to another person after 01.02.2019 for reasons other than inheritance, the new owner (transferee) is not eligible for benefits, since they did not own the land as of the cut-off date. If the original owner's family has no remaining cultivable land after the transfer, they also become ineligible.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
documents,"State/UT Governments are responsible for correcting land records to reflect inheritance-based ownership changes, and for updating the PM-KISAN portal so benefits continue for eligible successors or are discontinued for families no longer eligible.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
eligibility,"In some North-Eastern states with community-based land ownership (e.g. Manipur, Nagaland), alternate certification via village council/chief, verified by administrative officers, is used to identify eligible beneficiaries instead of standard land records, subject to the scheme's usual exclusion criteria. A similar lineage-based (Vanshavali) verification process applies in Jharkhand.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
documents,"6. Strategy for Implementation 6.1 The States shall prepare database of eligible beneficiary land holder farmer families in the villages capturing the Name, Age, Gender, Category (SC/ST), Aadhaar Number, Bank Account Number and the Mobile Number of the beneficiaries. Responsibility of identifying the land holder farmer family eligible for benefit under the scheme shall be of the State / UT Government. In case of beneficiaries in States of Assam, Meghalaya, J&K where Aadhaar number has not been issued to most of the citizens, Aadhaar number shall be collected for those beneficiaries where it is available and for others alternate prescribed documents such as Driving Licence, Voters’ ID Card, NREGA Job Card, or any other identification documents issued by Central / State / UT Governments or their authorities, etc. can be collected for identity verification purposes. These three States have been exempted from the requirement of Aadhaar number till 31.3.2021. In the meantime these States will complete Aadhaar enrolment. States / UTs shall ensure that there is no duplication of the payment transferred to eligible families. Speedy reconciliation in case of wrong / incomplete bank details of the beneficiary should be ensured. 6.2  For the purpose of exclusion States have to take a self-declaration from the beneficiaries as detailed in par 4.2 above. In the said self-declaration taken by the States / UT Governments an undertaking should also be included wherein the consent of the beneficiaries should be taken for using the Aadhaar number for verification of his eligibility for the scheme with the concerned agencies.  This consent of the beneficiary should be “to agree that the department responsible for implementation of the Pradhan Mantri Kisan Samman Nidhi Yojana in Union Government or the State Government / Union Territory Administration can use the beneficiary Aadhaar number and other information provided in the declaration to verify the eligibility of the beneficiary for scheme as per extant scheme guidelines with the concerned agencies”. 6.3 The existing land-ownership system in the concerned State / UT will be used for identification of beneficiaries. Accordingly, it is of utmost importance that the land records are clear and updated. Further, State / UT Governments would also expedite the progress of digitization of the land records and linking the same with Aadhaar as well as bank details of the beneficiaries. 6.4 The lists of eligible beneficiaries would be published at the village level. Farmers’ families who are eligible but have been excluded should be provided an opportunity to represent their case.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
process,"7. Review, Monitoring and Grievance Redressal Mechanism 7.1 There will be stratified review / monitoring mechanism at National, State and District Level. At the National level, the Review Committee will be headed by Cabinet Secretary. The States shall notify the State and District Level Review / Monitoring Committee. 7.2 The States shall also notify State and District Level Grievance Redressal Monitoring Committees for looking into all the grievances related to implementation of the scheme. Any grievances or complaints which are received should be disposed off on merit preferably within two weeks time.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
process,"A Project Monitoring Unit (PMU) at the central level, under the Department of Agriculture, Cooperation & Farmers Welfare, is responsible for overall monitoring and publicity of the scheme. State/UT Governments may set up similar units, partly funded (0.125% of transferred installment amounts) by the Central Government for administrative expenses.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
documents,"The PM-KISAN Portal (pmkisan.gov.in) is used by State/UT Governments to upload beneficiary details. Required farmer attributes include State, District, Village, Farmer Name, Aadhaar Number (or enrollment number), Gender, Category, IFSC Code, and Bank Account Number; optional attributes include Father's Name, Address, Mobile Number, and Date of Birth.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
amount,"The Rs.6000/year benefit is released in 3 installments of Rs.2000 each every 4-month trimester: April-July, August-November, and December-March.",https://pmkisan.gov.in/Documents/RevisedPM-KISANOperationalGuidelines(English).pdf
