question_id,pipeline,answer
1,plain,"Haan, aap PM-KISAN ke liye eligible ho. Pehle toh scheme sirf small aur marginal farmers ke liye tha, lekin ab sabhi farmer families ko benefit milta hai, chahe unke paas kitni bhi zameen ho. Bas micro land holdings jo cultivable nahi hai, unko exclude kiya gaya hai. Aapke paas 1 acre zameen hai, toh aapke liye scheme open hai."
2,plain,"Nahin, PM-KISAN scheme sirf un kisano ke liye nahin hai jinke paas apni zameen hai, lekin ismein kya kiraye ki zameen wale apply kar sakte hain iske baare mein scheme ke context mein koi jankari nahin di gayi hai. Scheme ke mutabik, ismein landholding farmers' families ko financial benefit diya jaata hai, lekin yeh nahin bataya gaya hai ki kiraye ki zameen wale ismein shaamil hain ya nahin."
3,plain,"Arre, yeh to context mein clearly nahi likha hai ki government employee hone se PM-KISAN ka fayda milta hai ya nahi. Bas itna likha hai ki shuruat mein sirf small aur marginal farmers ke liye tha, lekin baad mein sabhi farmer families ko include kar liya gaya. Lekin exclusion criteria ke baare mein kuch nahi likha hai, to hum keh nahi sakte ki government employee hone se fayda milega ya nahi."
4,plain,"PM-KISAN ke liye minimum landholding requirement nahin hai. Pehle scheme launch hua tha sirf Small & Marginal Farmers' (SMF) families ke liye, jinke paas 2 hectare tak ki landholding thi, lekin baad mein scheme revise kiya gaya aur ab yeh scheme sabhi farmer families ke liye hai, chahe unke paas kitni bhi landholding ho."
5,plain,"PM-KISAN ki agarli installment kab tak aayegi, iske baare mein to exact date nahi di gayi hai, lekin yeh scheme ke mutabik 4 monthly period mein 3 equal installments of Rs.2000 each di jaati hai. Toh agar aapke paas pehli installment aa chuki hai, toh agli installment 4 month ke baad aayegi."
6,plain,Context mein naye kisan registration ke liye last date ka ullekh nahi hai.
7,plain,PM-KISAN ke liye eKYC complete karne ki deadline ke bare mein is context mein koi jankari nahin hai.
8,plain,"PM-KISAN scheme mein ek saal mein total 6000 rupees milta hai, jo ki 3 installments mein diya jata hai, har installment mein 2000 rupees."
9,plain,"Har installment mein 2000 rupees transfer hote hain. Total 6000 rupees per annum per family diya jata hai, jo 3 equal installments mein diya jata hai, har 4 mahine mein 2000 rupees."
10,plain,"Haan, PM-KISAN scheme ke hisab se, sabhi states ke kisano ke liye amount same hai, jo ki Rs. 6000 per annum per family hai, jo ki 3 equal installments mein diya jata hai, har installment Rs. 2000 ka hota hai."
11,plain,"Haan, agar aapka application late approve hua hai, to bhi aapko pichle installments mil sakte hain. PM-KISAN scheme ke hisaab se, agar aapka naam portal par upload ho gaya hai, to aapko us 4-monthly period ke liye installment mil sakta hai, aur agle installments bhi mil sakte hain jab tak ki delay ka kaaran resolve ho jaye."
12,plain,"PM-KISAN ke liye aapko name, age, gender, category (SC/ST), Aadhaar number (Assam, Meghalaya, J&K ke alawa), bank account number, IFSC code, aur kuchh anya identification documents jaise ki driving licence, voter ID card, NREGA job card chahiye. Mobile number bhi dena hai, lekin woh mandatory nahi hai."
13,plain,"Aadhaar card PM-KISAN ke liye mandatory hai, lekin Assam, Meghalaya, aur Jammu & Kashmir ke kuch cases mein exemption di gayi hai. Jab tak aapke paas Aadhaar card nahi hai, toh aapko doosre documents jaise ki driving license, voter ID card, ya NREGA job card bhi submit karne pad sakte hain. Lekin generally, Aadhaar card mandatory hai PM-KISAN ke benefits ke liye."
14,plain,"Land ownership proof ke liye aapko apna land ka document dena hota hai, jaise ki land record ya ownership certificate. PM Awas Yojana mein to yeh clearly likha hai ki beneficiaries ko ownership proof of land dena hota hai, aur PM-KISAN mein bhi land records ka mention hai, jahan par land ownership ki details hoti hain."
15,plain,"Bank account details verify karne ke liye aapko apna bank account number aur IFSC code submit karna padta hai. Iske alawa, aapko apna Aadhaar number bhi submit karna padta hai, lekin Assam, Meghalaya, aur Jammu & Kashmir ke liye yeh zaruri nahi hai, kyunki wahan par Aadhaar number har kisi ke paas nahi hai."
16,plain,"Ayushman Bharat card banwane ke liye jo beneficiaries Haryana Mukhyamantri Antyodaya Parivar Utthan Yojana ke under aate hain, unka annual family income 1.80 lakh se kam hona chahiye, toh ve eligible hain. Unhe koi request letter ya entitlement letter dena nahi padta, bas Ayushman Kiosk ya Common Services Centers (CSC) se apna Ayushman Bharat card le sakte hain."
17,plain,"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana ke beneficiaries ke bare mein diya gaya context sirf unlogon ke bare mein batata hai jo SECC-2011 database mein specific categories mein aate hain, aur Haryana Mukhyamantri Antyodaya Parivar Utthan Yojana ke beneficiaries jinki annual family income 1.80 lakh se kam hai. Private sector employees ke bare mein koi jankari nahi di gayi hai, isliye hum keh nahi sakte ki ve iska labh le sakte hain ya nahi."
18,plain,"Nahi, agar aapki family SECC list mein nahi hai toh aap Ayushman Bharat Pradhan Mantri Jan Arogya Yojana ke liye apply nahi kar sakte. Scheme ke mutabik, sirf unhi families ko benefit milega jinke naam SECC-2011 database mein hain."
19,plain,"Nahin, Ayushman Bharat scheme sirf BPL families ke liye nahi hai. Ismein un logon ko bhi cover kiya jaata hai jo SECC-2011 database mein specific categories mein aate hain. Aur Haryana mein, jo log Mukhyamantri Antyodaya Parivar Utthan Yojana ke beneficiaries hain, unki annual family income agar 1.80 lakh se kam hai, to unhe bhi Ayushman Bharat ka labh mil sakta hai."
20,plain,"Ayushman card banwane ki koi last date toh mentioned nahi hai, so aap kabhi bhi apna Ayushman card banwa sakte hain, Ayushman Kiosk ya Common Services Centers (CSC) se."
21,plain,"Sorry, context mein iska jawab nahi hai. Context mein sirf Ayushman Bharat ke bare mein kuch jaankari hai, jismein grievance raise karne ki website link di gayi hai, hospital dwara additional charge na lene ki baat kahi gayi hai, aur priority beneficiaries ke bare mein bataya gaya hai. Lekin treatment claim submit karne ki time limit ke bare mein koi jaankari nahi hai."
22,plain,"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana ke context mein, ismein card renewal ke bare mein kuch specific information nahi hai. Lekin yeh bataya gaya hai ki aap national portability basis par benefits le sakte hain, lekin card renewal ke liye koi specific details nahi diye gaye hain."
23,plain,"Ayushman Bharat mein per family 5 lakh rupye tak ka health cover milta hai, jo ki family floater basis pe hai, matlab ki ye amount ek ya sabhi family members use kar sakte hain."
24,plain,"Ayushman Bharat ke bare mein aapne sawal kiya hai, lekin diya gaya context iska jawaab nahin deta. Diye gaye context mein sirf Ayushman Bharat ke udeshya ke baare mein bataya gaya hai, lekin iske bare mein koi jaankari nahin hai ki yeh cover ek baar ke liye hai ya har saal renew hota hai."
25,plain,"Ayushman Bharat ke tahat treatment ka poora kharcha cover hota hai, lekin sirf 5 lakh tak. Agar kharcha 5 lakh se zyada hota hai, toh uske baad ka kharcha aapko khud dena padta hai."
26,plain,"Nahin, context mein aisa koi information nahi hai ki cover amount har state mein alag hota hai. Sab jagah Rs. 5,00,000 per family per year ka cover diya jaata hai."
