question_id,claim,verdict,confidence,evidence_source,evidence_text
1,"Haan, aap PM-KISAN ke liye eligible ho",UNVERIFIABLE,0.85,PM-KISAN,"[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019
---
[PM-KISAN] What are the benefits of the Scheme? The followin cate o of farmers are not eli ible to et the benefits of the PM-Kisan"
1,Pehle toh scheme sirf small,SUPPORTED,0.98,PM-KISAN,"[PM-KISAN] Micro land holdings, which are not cultivable, are excluded from the benefit under the scheme.
---
[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019"
1,marginal farmers ke liye tha,SUPPORTED,0.9,PM-KISAN,"[PM-KISAN] Micro land holdings, which are not cultivable, are excluded from the benefit under the scheme.
---
[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019"
1,"ab sabhi farmer families ko benefit milta hai, chahe unke paas kitni bhi zameen ho",SUPPORTED,0.98,PM-KISAN,"[PM-KISAN] Will any individual or farmer family owning more than 2 hectare of cultivable land get any benefit under the scheme? Yes. The ambit of the scheme has been extended to cover all farmer families, irrespective of the size of their land holdings.
---
[PM-KISAN] Who are eligible to get benefits under the Scheme? All landholding farmers' families, which have cultivable landholding in their names are eligible to get benefit under the scheme"
1,"Bas micro land holdings jo cultivable nahi hai, unko exclude kiya gaya hai",SUPPORTED,0.99,PM-KISAN,"[PM-KISAN] Micro land holdings, which are not cultivable, are excluded from the benefit under the scheme.
---
[PM-KISAN] Whether micro land holdings are admissible for availing the benefit of the Scheme? Micro land holdings, which are not cultivable, are excluded from the benefit under the scheme."
1,"Aapke paas 1 acre zameen hai, toh aapke liye scheme open hai",SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] Will any individual or farmer family owning more than 2 hectare of cultivable land get any benefit under the scheme? Yes. The ambit of the scheme has been extended to cover all farmer families, irrespective of the size of their land holdings.
---
[PM-KISAN] Micro land holdings, which are not cultivable, are excluded from the benefit under the scheme."
2,"Nahin, PM-KISAN scheme sirf un kisano ke liye nahin hai jinke paas apni zameen hai",CONTRADICTED,0.95,PM-KISAN,"[PM-KISAN] 1. Scheme With a view to provide income support to all landholding farmers’ families in the country, having cultivable land, the Central Government has implemented a Central Sector Scheme, namely, “Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)”.
---
[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019"
2,ismein kya kiraye ki zameen wale apply kar sakte hain iske baare mein scheme ke context mein koi jankari nahin di gayi hai,SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] 1. Scheme With a view to provide income support to all landholding farmers’ families in the country, having cultivable land, the Central Government has implemented a Central Sector Scheme, namely, “Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)”.
---
[PM-KISAN] When was the scheme launched? Scheme (a) All lnstitutional Land holders; and (b) Farmer families in which one or more of its members belong to following categories:- i. Former and present holders of constitutional posts ii. Former and present ltlinisters/ State Ministers and former/present Members of Lok sabha/ Rajya sabha/ state Legislative Assemblies/ State Legislative councils, former and present tt/ayors of Municipal corporations, former and present Chairpersons of District Panchayats. iii. All serving or retired officers and employees of Central/ State Government tvliniitries /Offices/Departments and its field units Central or State PSEs and Attached offices /Autonomous lnstitutions under Government as well as regular employees of the Local Bodies (Excluding Multi Tasking staff / Class lV/Group D employees) iv. All su pe ran n uated/retired pensioners Rs.10,000/-or more(Excluding Ir/ulti Tasking em ployees) All Persons who paid lncome Tax in last assessment year vi. Professionals like Doctors, Engineers' Lawyers, Chartered Accountants, and Architects registered with Professional bodies and carrying out profession by undertaking practices."
2,"Scheme ke mutabik, ismein landholding farmers' families ko financial benefit diya jaata hai",SUPPORTED,0.99,PM-KISAN,"[PM-KISAN] Who are eligible to get benefits under the Scheme? All landholding farmers' families, which have cultivable landholding in their names are eligible to get benefit under the scheme
---
[PM-KISAN] 2. Objective and Benefits The scheme aims to supplement the financial needs of all landholding farmers’ families in procuring various inputs to ensure proper crop health and appropriate yields, commensurate with the anticipated farm income as well as for domestic needs. Under the Scheme an amount of Rs.6000/- per year is released by the Central Government online directly into the bank accounts of the eligible farmers under Direct Benefit Transfer mode, subject to certain exclusions. 3. Definition of farmer’s family A landholder farmer’s family is defined as “a family comprising of husband, wife and minor children who owns cultivable land as per land records of the concerned State/UT”.  The existing land-ownership system will be used for identification of beneficiaries for calculation of benefit."
2,yeh nahin bataya gaya hai ki kiraye ki zameen wale ismein shaamil hain ya nahin,SUPPORTED,0.96,PM-KISAN,"[PM-KISAN] 1. Scheme With a view to provide income support to all landholding farmers’ families in the country, having cultivable land, the Central Government has implemented a Central Sector Scheme, namely, “Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)”.
---
[PM-KISAN] Will be monetary benefit under the Scheme be directly credited into beneficiary accounts? Yes. The financial benefit under the scheme shall be directly credited into bank accounts of beneficiaries."
