scheme,category,fact,source_url
PM-KISAN,amount,"PM-KISAN provides Rs. 6000 per year to eligible farmer families, paid in three equal installments of Rs. 2000 each every four months (April-July, August-November, December-March).",https://pmkisan.gov.in
PM-KISAN,eligibility,"A PM-KISAN beneficiary family is defined as husband, wife and minor children who own cultivable land as per land records of the concerned State/UT.",https://pmkisan.gov.in
PM-KISAN,eligibility,"Institutional land holders, current or former constitutional post holders/ministers/legislators, serving or retired government employees (except Group D/Class IV staff), pensioners with monthly pension of Rs. 10,000 or more, income tax payers, registered professionals (doctors, engineers, lawyers, chartered accountants, architects), and NRIs are excluded from PM-KISAN.",https://pmkisan.gov.in
PM-KISAN,documents,"PM-KISAN registration requires an Aadhaar number (or Aadhaar enrolment number plus another ID like Voter ID), bank account number with IFSC code, and land records; Assam, Meghalaya and Jammu & Kashmir were exempted from the Aadhaar requirement till 31.3.2021.",https://pmkisan.gov.in
PM-KISAN,deadline,"The cut-off date for determining PM-KISAN beneficiary eligibility was 01.02.2019, with no changes considered thereafter for 5 years, except when ownership transfer happens due to the landowner's death.",https://pmkisan.gov.in
PM-KISAN,process,"PM-KISAN funds are transferred directly to beneficiaries' bank accounts via Direct Benefit Transfer (DBT) through the PFMS portal, after State/UT governments upload and e-sign verified farmer lists on the PM-KISAN Portal at pmkisan.gov.in.",https://pmkisan.gov.in
Ayushman Bharat,amount,"PM-JAY provides cashless health cover of up to Rs. 5,00,000 per eligible family per year for listed secondary and tertiary care, on a family floater basis with no cap on family size or age, and pre-existing diseases covered from day one.",https://ayushmanbharat.haryana.gov.in
Ayushman Bharat,eligibility,"PM-JAY beneficiaries are persons covered under specific categories of the SECC-2011 database of the Government of India; there is no income criterion for beneficiaries already listed under SECC-2011.",https://ayushmanbharat.haryana.gov.in
Ayushman Bharat,documents,"Eligibility documents for Ayushman Bharat include a PM/CM entitlement letter, ration card, or Aadhaar card for identification.",https://ayushmanbharat.haryana.gov.in
Ayushman Bharat,amount,"PM-JAY covers 874 treatment packages and 1592 procedures, including consultation, pre-hospitalization, medicines, diagnostics, implants, accommodation, food, and 15 days of post-hospitalization follow-up; OPD services are not covered.",https://ayushmanbharat.haryana.gov.in
Ayushman Bharat,process,"Beneficiaries can get an Ayushman card at Ayushman Kiosks in empanelled hospitals or at Common Service Centres (CSC), and can check their eligibility online at mera.pmjay.gov.in.",https://ayushmanbharat.haryana.gov.in
Ayushman Bharat,deadline,"Ayushman Bharat PM-JAY has no application deadline; it is an ongoing scheme with rolling enrolment for eligible SECC-2011 families.",https://ayushmanbharat.haryana.gov.in
PM Awas Yojana,eligibility,"A PMAY-Urban beneficiary is defined as a family of husband, wife and unmarried children who do not own a pucca house anywhere in India; EWS beneficiaries are eligible under all four scheme verticals, while LIG/MIG beneficiaries are eligible only under the Credit Linked Subsidy Scheme (CLSS).",https://pmay-urban.gov.in/faq
PM Awas Yojana,amount,"PMAY-Urban's Credit Linked Subsidy Scheme (CLSS) gives an interest subsidy of up to Rs. 2.67 lakh per house: 6.5% on loans up to Rs. 6 lakh for EWS/LIG, 4% on loans up to Rs. 9 lakh for MIG-I, and 3% on loans up to Rs. 12 lakh for MIG-II.",https://pmay-urban.gov.in/faq
PM Awas Yojana,eligibility,"PMAY-Urban income categories are: EWS up to Rs. 3 lakh/year, LIG Rs. 3-6 lakh/year, MIG-I Rs. 6-12 lakh/year, and MIG-II Rs. 12-18 lakh/year.",https://pmay-urban.gov.in/faq
PM Awas Yojana,documents,"CLSS carpet area limits are up to 30 sq.m for EWS, 60 sq.m for LIG, 160 sq.m for MIG-I, and 200 sq.m for MIG-II; exceeding these limits makes a beneficiary ineligible for the subsidy.",https://pmay-urban.gov.in/faq
PM Awas Yojana,process,"The PMAY-Urban interest subsidy is credited upfront to the beneficiary's loan account by the Primary Lending Institution, reducing the principal loan amount and the EMI; NHB, HUDCO and SBI are the Central Nodal Agencies that channel the subsidy to lenders.",https://pmay-urban.gov.in/faq
PM Awas Yojana,deadline,"PMAY-Urban was launched on 25 June 2015 with an original target of housing for all eligible urban households by 2022.",https://pmay-urban.gov.in/faq
Post-Matric Scholarship,amount,"Post-Matric Scholarship maintenance allowance ranges from Rs. 1200/month (hostellers) or Rs. 550/month (day scholars) for Group I courses down to Rs. 380/month (hostellers) or Rs. 230/month (day scholars) for Group IV courses, plus reimbursement of compulsory non-refundable fees.",https://sewa.haryana.gov.in
Post-Matric Scholarship,eligibility,"Post-Matric Scholarship is open to Scheduled Caste students studying post-matriculation or post-secondary courses whose parents'/guardians' income from all sources does not exceed Rs. 2,50,000 per year.",https://sewa.haryana.gov.in
Post-Matric Scholarship,documents,"An application requires the prescribed application form, a passport-size photograph, attested copies of certificates, an original caste certificate signed by a Revenue Officer not below Tehsildar rank, and an income declaration or certificate.",https://sewa.haryana.gov.in
Post-Matric Scholarship,deadline,"States announce the scheme and invite applications in May-June each year; applicants must submit the completed application before the last date prescribed by their State/UT.",https://sewa.haryana.gov.in
Post-Matric Scholarship,process,"The scheme is implemented by State Governments/UT Administrations with 100% central assistance from the Government of India; scholarship money is paid into the student's post office or bank account, not in cash.",https://sewa.haryana.gov.in
